index,expected,baseline_status,baseline_time,improved_status,improved_time,formula
101,not_proved,not_proved,8.707866072654724e-06,not_proved,1.9333790987730026e-05,((E ∨ D) ∨ (C ∨ E))
102,valid,valid,4.958827048540115e-06,valid,9.249895811080933e-06,((¬C ∧ (E ∧ D)) → ¬C)
103,not_proved,not_proved,1.991703175008297e-05,not_proved,4.3665990233421326e-05,"(∀z.(Q(z, z) → Q(a, z)) ∧ ((R(b, b) ∨ ⊥) ∨ ∀y.Q(a)))"
104,valid,valid,0.00023866607807576656,valid,0.00017670891247689724,(((((B → E) ∨ (D ∧ D)) → ((D ∧ ⊤) ∨ (E ∨ A))) ∧ (((D ∧ ⊤) ∨ (E ∨ A)) → ((A ∧ E) → (D ∧ D)))) → (((B → E) ∨ (D ∧ D)) → ((A ∧ E) → (D ∧ D))))
105,not_proved,not_proved,1.3625016435980797e-05,not_proved,2.687494270503521e-05,(((D ∨ C) ∨ B) ∨ ((C ∧ E) ∧ (E ∧ B)))
106,valid,valid,6.624963134527206e-06,valid,1.5541911125183105e-05,((D → ((D ∨ A) ∨ (B ∨ C))) → (((D ∨ (D ∧ C)) → B) ∨ (D → ((D ∨ A) ∨ (B ∨ C)))))
107,valid,valid,3.95788811147213e-06,valid,6.95791095495224e-06,((D ∧ A) ∨ (E → E))
108,not_proved,not_proved,8.458038792014122e-06,not_proved,1.5832949429750443e-05,((A → E) ∨ (C ∧ C))
109,not_proved,not_proved,2.125045284628868e-06,not_proved,5.58304600417614e-06,R(a)
110,not_proved,not_proved,1.5830155462026596e-06,not_proved,3.4580007195472717e-06,B
111,valid,valid,6.667105481028557e-06,valid,1.537497155368328e-05,(((D ∧ (¬A ∧ (C → E))) ∧ (D ∧ ((E → D) ∧ (A → ⊤)))) → (D ∧ ((E → D) ∧ (A → ⊤))))
112,valid,valid,4.833098500967026e-06,valid,9.58307646214962e-06,((B ∧ ⊥) → (B ∨ A))
113,not_proved,not_proved,7.791910320520401e-06,not_proved,1.3042008504271507e-05,(¬E ∧ (⊤ → A))
114,not_proved,not_proved,9.790994226932526e-06,not_proved,1.970888115465641e-05,((⊥ ∧ A) ∨ (B ∧ B))
115,not_proved,not_proved,8.124858140945435e-06,not_proved,1.53339933604002e-05,(¬D ∨ (B ∧ E))
116,not_proved,not_proved,8.292030543088913e-06,not_proved,1.6541918739676476e-05,(¬D → (B ∧ A))
117,valid,valid,2.3791100829839706e-05,valid,6.062490865588188e-05,(¬¬(((C → E) ∨ (C ∨ B)) ∨ (¬E ∨ ¬A)) → (((C → E) ∨ (C ∨ B)) ∨ (¬E ∨ ¬A)))
118,valid,valid,7.541850209236145e-06,valid,1.7249956727027893e-05,(¬(¬B ∨ ¬A) → (((¬⊥ ∧ B) ∨ ((A ∧ D) ∨ (A → D))) ∨ ¬(¬B ∨ ¬A)))
119,valid,valid,7.292022928595543e-06,valid,1.687486656010151e-05,(¬¬((⊥ ∨ C) → ¬B) → ((⊥ ∨ C) → ¬B))
120,valid,valid,1.1125113815069199e-05,valid,2.1958956494927406e-05,((C ∧ (C → ¬E)) → ¬E)
121,not_proved,not_proved,2.3707980290055275e-05,not_proved,7.504201494157314e-05,((((Q(b) ∨ Q(a)) ∨ (R(a) ∧ Q(a))) ∧ ∀y.(⊤ ∨ P(b))) ∧ ((¬P(a) → ¬P(a)) → ∃y.∀z.⊥))
122,valid,valid,4.166970029473305e-06,valid,7.792143151164055e-06,((¬⊥ ∧ B) → ¬⊥)
123,not_proved,not_proved,4.459172487258911e-06,not_proved,1.0333023965358734e-05,"¬R(b, a)"
124,valid,valid,2.11251899600029e-05,valid,5.445815622806549e-05,((((C ∧ B) ∧ ¬B) → ((D ∨ ⊥) ∨ (B ∧ E))) → (¬((D ∨ ⊥) ∨ (B ∧ E)) → ¬((C ∧ B) ∧ ¬B)))
125,not_proved,not_proved,1.1541880667209625e-05,not_proved,2.408307045698166e-05,(((A ∧ B) ∨ ¬C) ∧ ¬E)
126,not_proved,not_proved,7.4999406933784485e-06,not_proved,1.4416174963116646e-05,((A ∧ B) ∧ (D ∨ B))
127,valid,valid,4.78341244161129e-05,valid,0.00012783310376107693,(((((C ∧ E) → ¬D) ∧ ((⊤ ∧ ⊥) ∨ (⊤ ∨ C))) ∧ ((((C ∧ E) → ¬D) ∧ ((⊤ ∧ ⊥) ∨ (⊤ ∨ C))) → B)) → B)
128,valid,valid,3.250082954764366e-06,valid,6.792135536670685e-06,((D ∧ (C → E)) → (D ∧ (C → E)))
129,not_proved,not_proved,1.8541933968663216e-05,not_proved,5.316687747836113e-05,"¬(((R(b, a) → P(b)) ∨ (P(b) ∧ Q(b))) ∨ ((P(c, c) ∨ P(b)) → ¬Q(b)))"
130,valid,valid,4.749977961182594e-06,valid,9.249895811080933e-06,((¬D ∧ (⊥ ∧ A)) → (⊥ ∧ A))
131,not_proved,not_proved,8.917180821299553e-06,not_proved,1.8709106370806694e-05,(¬(E ∧ E) ∧ ((A ∧ E) ∧ (C → ⊤)))
132,valid,valid,7.750000804662704e-06,valid,1.808302477002144e-05,((((¬C ∨ A) ∨ ((C ∧ ⊥) ∧ (D ∨ D))) ∧ ¬((E ∧ ⊥) ∨ (A → E))) → ¬((E ∧ ⊥) ∨ (A → E)))
133,not_proved,not_proved,6.457790732383728e-06,not_proved,1.8667196854948997e-05,"(P(a) ∧ (R(c) ∨ (P(b) ∧ R(b, c))))"
134,valid,valid,6.332993507385254e-06,valid,1.0125106200575829e-05,((E ∨ A) → ((E → A) ∨ (E ∨ A)))
135,not_proved,not_proved,1.7333077266812325e-05,not_proved,3.2499898225069046e-05,(((D → ⊤) ∧ (E ∧ D)) → ¬(B → ⊤))
136,valid,valid,4.62518073618412e-06,valid,9.167008101940155e-06,(((¬C → (A ∧ B)) ∧ ¬C) → ¬C)
137,valid,valid,3.250082954764366e-06,valid,5.37489540874958e-06,((⊤ ∨ C) ∨ (C → D))
138,not_proved,not_proved,1.116609200835228e-05,not_proved,2.291705459356308e-05,(((D → A) ∨ (C ∨ E)) ∧ ((A ∧ C) ∨ (C ∨ C)))
139,valid,valid,1.1249911040067673e-05,valid,5.0167087465524673e-05,"(∀z.P(a, z) → (Q(c, b) ∨ P(a, c)))"
140,not_proved,not_proved,1.2042000889778137e-05,not_proved,2.3208092898130417e-05,¬(((C → B) ∨ ¬D) → D)
141,not_proved,not_proved,1.3124896213412285e-05,not_proved,4.0624989196658134e-05,"(¬(P(b) ∨ (P(b) ∧ P(c))) ∧ (((P(c) ∨ Q(b)) ∨ ∀z.R(a)) ∨ (∃y.Q(y, y) ∧ (R(b, c) ∨ Q(b, a)))))"
142,valid,valid,2.7080532163381577e-06,valid,5.624955520033836e-06,(¬(B ∧ E) → ¬(B ∧ E))
143,valid,valid,1.13749410957098e-05,valid,2.1707965061068535e-05,(¬(B ∧ A) ∨ ((C → B) ∧ (E ∨ A)))
144,valid,valid,4.749977961182594e-06,valid,1.2291129678487778e-05,"((R(b) → Q(a)) → (R(b, a) → ⊤))"
145,not_proved,not_proved,8.95792618393898e-06,not_proved,1.7333077266812325e-05,((A → A) → (C → D))
146,not_proved,not_proved,8.584000170230865e-06,not_proved,1.9208993762731552e-05,(¬(C → C) ∧ (¬A ∨ ¬B))
147,not_proved,not_proved,2.040993422269821e-06,not_proved,5.250098183751106e-06,R(b)
148,valid,valid,1.5750061720609665e-05,valid,4.395912401378155e-05,(((¬E → (E → C)) → ((D → B) ∨ (D ∨ E))) → (¬((D → B) ∨ (D ∨ E)) → ¬(¬E → (E → C))))
149,valid,valid,2.633407711982727e-05,valid,4.9916794523596764e-05,(∃x.(∃y.⊥ ∨ (Q(x) → ⊤)) ∨ (∃z.R(b) → P(b)))
150,not_proved,not_proved,8.499948307871819e-06,not_proved,1.5167053788900375e-05,∀x.∀x.R(b)
151,not_proved,not_proved,5.375128239393234e-06,not_proved,1.1707888916134834e-05,¬Q(c)
152,valid,valid,0.0003478748258203268,valid,8.604093454778194e-05,((((¬(C → D) → ((B ∨ C) ∨ B)) → ¬((E → E) ∨ (E ∨ C))) ∧ (¬((E → E) ∨ (E ∨ C)) → B)) → ((¬(C → D) → ((B ∨ C) ∨ B)) → B))
153,not_proved,not_proved,1.7625046893954277e-05,not_proved,3.2499898225069046e-05,(¬((D ∨ E) ∧ (A ∧ A)) ∧ (¬¬B ∧ B))
154,not_proved,not_proved,2.0458130165934563e-05,not_proved,3.766617737710476e-05,(((E ∧ E) ∨ (E → E)) ∧ ((A → D) → (C ∨ A)))
155,valid,valid,0.00011645792983472347,valid,0.00014820904470980167,((((D → C) ∧ (E → B)) ∧ (((D → C) ∧ (E → B)) → ((B ∧ E) ∧ ¬⊤))) → ((B ∧ E) ∧ ¬⊤))
156,valid,valid,5.604187026619911e-05,valid,0.00014066696166992188,(¬¬(((C ∨ ⊥) → (B → E)) ∨ ((C ∨ B) ∧ (C → E))) → (((C ∨ ⊥) → (B → E)) ∨ ((C ∨ B) ∧ (C → E))))
157,not_proved,not_proved,7.58306123316288e-06,not_proved,1.4999881386756897e-05,((E ∨ C) ∧ (D ∨ ⊤))
158,not_proved,not_proved,6.125075742602348e-06,not_proved,1.3457844033837318e-05,¬¬R(c)
159,valid,valid,7.79579859226942e-05,valid,0.00015845894813537598,(((((B → D) ∧ (B ∨ ⊤)) ∨ (¬⊥ → (A ∧ B))) ∧ ((((B → D) ∧ (B ∨ ⊤)) ∨ (¬⊥ → (A ∧ B))) → D)) → D)
160,valid,valid,2.5208108127117157e-05,valid,5.474989302456379e-05,(((⊤ → B) ∧ ¬E) → (((⊤ → B) ∧ ¬E) ∨ ((C ∨ A) ∧ (A ∨ ⊤))))
161,not_proved,not_proved,1.354212872684002e-05,not_proved,2.787495031952858e-05,(((E → E) ∧ ¬C) ∧ ¬(C → B))
162,valid,valid,1.7750076949596405e-05,valid,4.52499371021986e-05,((¬((C ∨ B) ∧ (C ∨ B)) ∧ (¬((C ∨ B) ∧ (C ∨ B)) → ¬((D ∧ C) ∧ ¬D))) → ¬((D ∧ C) ∧ ¬D))
163,not_proved,not_proved,1.695798709988594e-05,not_proved,3.6665936931967735e-05,(¬((B → B) ∧ (C → E)) ∧ (((E ∨ E) ∧ ¬E) ∨ B))
164,not_proved,not_proved,1.0083895176649094e-05,not_proved,2.0790845155715942e-05,¬((B ∧ ⊤) → (C ∧ D))
165,valid,valid,3.125052899122238e-06,valid,6.541842594742775e-06,"(∀z.((R(z) ∧ R(b)) → Q(b, z)) ∨ ⊤)"
166,not_proved,not_proved,6.207963451743126e-06,not_proved,1.2124888598918915e-05,¬(B ∨ E)
167,not_proved,not_proved,1.1124880984425545e-05,not_proved,2.4416949599981308e-05,"((R(b, a) ∨ R(a, a)) ∨ ¬P(c))"
168,valid,valid,5.58304600417614e-06,valid,1.2249918654561043e-05,(¬(D ∧ (A ∨ C)) → (¬(D ∧ (A ∨ C)) ∨ E))
169,valid,valid,2.0666979253292084e-05,valid,4.670792259275913e-05,((((C ∧ E) → (D ∨ A)) ∧ ((D → E) ∧ ¬E)) → (((A ∨ B) → A) ∨ ((E → A) → (D → D))))
170,valid,valid,5.291774868965149e-06,valid,1.1167023330926895e-05,(¬¬(A ∨ E) → (E ∨ ¬¬(A ∨ E)))
171,not_proved,not_proved,1.9666971638798714e-05,not_proved,4.312489181756973e-05,(((C → D) ∨ (C ∧ D)) → ((B → B) → ¬C))
172,not_proved,not_proved,2.0042061805725098e-05,not_proved,3.7084100767970085e-05,((⊤ ∧ ¬¬D) → ¬((D ∧ D) ∧ (E ∨ ⊥)))
173,not_proved,not_proved,1.687486656010151e-05,not_proved,3.2084062695503235e-05,"((∀z.P(c) ∧ ¬P(a)) ∨ Q(b, c))"
174,valid,valid,2.9997900128364563e-06,valid,5.875015631318092e-06,((⊥ → ⊥) → (⊥ → ⊥))
175,valid,valid,1.4749821275472641e-05,valid,2.845795825123787e-05,(((C ∨ E) ∨ E) ∨ ¬((C ∨ E) ∨ E))
